drug_name,drugbank_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
,DB00641,Atherosclerosis,C0004153,NCT00651391,Terminated,Phase 3,Slow enrollment
salbutamol,DB01001,Asthma,C0004096,NCT00634829,Terminated,Phase 3,"IND voluntarily withdrawn, without prejudice"
hydrocortamate,DB00741,Ocular Hypertension,C0028840,NCT00788541,Terminated,Phase 2,Project cancellation
oxytocin,DB00107,Schizophrenia,C0036341,NCT02149823,Terminated,Phase 1,All study proceedings stopped prematurely due to Covid-19 restrictions for intranasal formulations
lansoprazole,DB00448,Asthma,C0004096,NCT00361972,Terminated,Phase 2/Phase 3,limited recruitment
certolizumab pegol,DB08904,Crohn Disease,C0010346,NCT00358683,Withdrawn,Phase 3,
,DB01101,Malignant neoplasm of breast,C0006142,NCT01227408,Withdrawn,Phase 2,Sponsor withdrew due to funding issues
etoposide,DB00773,Non-Small Cell Lung Carcinoma,C0007131,NCT01222572,Terminated,Phase 1/Phase 2,Slow accrual due to restrictive eligibility criteria
bortezomib,DB00188,Multiple Myeloma,C0026764,NCT00657553,Terminated,Phase 3,Due to poor accrual
,DB00263,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
,DB00112,Merkel cell carcinoma,C0007129,NCT03167164,Withdrawn,Phase 1/Phase 2,Trial not initiated
albendazole,DB00518,COVID19 (disease),C5203670,NCT05283954,Withdrawn,Phase 2/Phase 3,Lack of funding
,DB00997,Peripheral T-Cell Lymphoma,C0079774,NCT00933985,Terminated,Phase 1,
cisplatin,DB00515,Human epidermal growth factor 2 negative carcinoma of breast,C2316304,NCT01918306,Terminated,Phase 1/Phase 2,"company stopped production of study drug due to excessive toxicities, lack of efficacy"
,DB00997,Multiple Myeloma,C0026764,NCT01177683,Terminated,Phase 1/Phase 2,Lack of accrual
hydromorphone,DB00327,Pain,C0030193,NCT00125801,Terminated,Phase 3,Lack of patients
,DB09258,Pneumonia,C0032285,NCT01532544,Terminated,Phase 2,"Difficulty recruiting patients, company closed down"
,DB00987,Multiple Myeloma,C0026764,NCT01653418,Terminated,Phase 2,Due to the high rate of morbidity and mortality
clopidogrel,DB00758,Acute Coronary Syndrome,C0948089,NCT02419820,Terminated,Phase 1,Sponsor Decision
iloprost,DB01088,Pulmonary Hypertension,C0020542,NCT02482402,Withdrawn,Phase 2,Delay in recruitment
zoledronic acid,DB00399,Malignant neoplasm of breast,C0006142,NCT00130494,Terminated,Phase 3,Low recruitment
ketamine,DB01221,Epilepsy,C0014544,NCT02726867,Withdrawn,Phase 3,No participants enrolled
,DB01015,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
,DB01238,Dementia,C0497327,NCT02374567,Terminated,Phase 3,
tranexamic acid,DB00302,COVID19 (disease),C5203670,NCT04390217,Withdrawn,Phase 2,Company focused on other clinical programs
,DB01248,Malignant neoplasm of breast,C0006142,NCT01690325,Terminated,Phase 2,Therapy of HER2+ patients according to protocol was no longer appropriate. Patient enrolment behind planned schedule and challenges of site performance
,DB01008,Acute lymphoblastic leukemia - category,C1531702,NCT01621477,Terminated,Phase 2,Study was terminated in August 2016 due to replacement by a new study.
decitabine,DB01262,Myelofibrosis,C0026987,NCT04283526,Withdrawn,Phase 1,This study was cancelled before enrolling any patients for business related reasons.
esomeprazole,DB00736,Nausea,C0027497,NCT00206440,Terminated,Phase 3,Accrual was not optimized
ceftriaxone,DB01212,Schizoaffective Disorder,C0036337,NCT00591318,Terminated,Phase 1/Phase 2,Study was terminated after enrolling 12 patients due to poor enrollment rates
,DB00635,COVID19 (disease),C5203670,NCT04359511,Withdrawn,Phase 3,COMPETITOR TEST (RECOVERY)
rituximab,DB00073,Thrombocytopenia due to platelet alloimmunization,C0272286,NCT02137681,Withdrawn,Phase 3,No eligible patient was enrolled.
temozolomide,DB00853,melanoma,C0025202,NCT01543464,Terminated,Phase 2,Diminished rectruitment
,DB01101,Biliary Tract Cancer,C0750952,NCT02720601,Withdrawn,Phase 2,Study was never submitted to the IRB & never opened. PI is leaving institution.
busulfan,DB01008,"Myeloid Leukemia, Chronic",C0023473,NCT00531310,Terminated,Phase 2,Poor accrual
,DB00734,Opiate Addiction,C0524662,NCT03837860,Terminated,Early Phase 1,PI leaving institution
,DB00631,Acute lymphoblastic leukemia - category,C1531702,NCT00983528,Terminated,Phase 1/Phase 2,Support withdrawn due to slow accrual
,DB11635,Burn injury,C0006434,NCT01413620,Withdrawn,Phase 1,
,DB00231,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,
bosentan,DB00559,Pulmonary Hypertension,C0020542,NCT00310830,Terminated,Phase 3,Slow enrollment
ustekinumab,DB05679,Axial Spondyloarthritis,C3203547,NCT02438787,Terminated,Phase 3,This study was stopped because ustekinumab did not achieve key endpoints in a related study. The safety profile was consistent with past ustekinumab studies.
,DB00177,Dyslipidemias,C0242339,NCT02662894,Withdrawn,Phase 3,Sponsor decision
,DB00073,Marginal Zone B-Cell Lymphoma,C1367654,NCT02623920,Withdrawn,Phase 2,Pharmaceutical company supplying the drug withdraw financial support. PI has decided to close study prior to enrollment of any patients.
nicotine,DB00184,Nicotine Dependence,C0028043,NCT02439944,Terminated,Phase 2/Phase 3,full RCT funded. no need to continue pilot data collection.
furosemide,DB00695,Heart failure,C0018801,NCT01558674,Terminated,Phase 1,Lack of efficacy
,DB00091,Acute lymphoblastic leukemia - category,C1531702,NCT03128034,Suspended,Phase 1/Phase 2,Administrative - FDA Comments
,DB01603,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
dapsone,DB00250,Malaria,C0024530,NCT00126971,Suspended,Phase 1,
erlotinib,DB00530,Malignant neoplasm of breast,C0006142,NCT00611715,Terminated,Phase 2,low accrual
,DB00608,Malaria,C0024530,NCT01290601,Terminated,Phase 2,Failure to meet pre-specified endpoint for the day 28 cure rate
,DB01248,Malignant neoplasm of breast,C0006142,NCT02897050,Suspended,Phase 2,
darbepoetin alfa,DB00012,Congestive heart failure,C0018802,NCT00534456,Terminated,Phase 3,Study terminated
,DB00541,Acute lymphoblastic leukemia - category,C1531702,NCT00187005,Terminated,Phase 3,Toxicity
azacitidine,DB00928,"Leukemia, Myelomonocytic, Chronic",C0023480,NCT03146871,Terminated,Phase 2,Lack of funding
spironolactone,DB00421,Heart failure,C0018801,NCT03682497,Terminated,Phase 1,Attendance at study sites carries risk of COVID-19 infection. Non-attendance at planned study site visits has unacceptable study related patient safety risk.
varenicline,DB01273,Obesity,C0028754,NCT02412631,Terminated,Phase 2/Phase 3,Lorcaserin removed from market
imatinib,DB00619,Gastrointestinal Stromal Tumors,C0238198,NCT00372567,Terminated,Phase 3,See termination reason in detailed description.
,DB00396,Premenstrual Dysphoric Disorder,C0520676,NCT00089414,Terminated,Phase 2,Informed by manufacturer that CDB-2914 crosses blood-brain barrier invalidating Arm #3 of protocol.
,DB09035,Metastatic Uveal Melanoma,C4725091,NCT02831933,Terminated,Phase 2,Lack of funding
,DB00531,Peripheral T-Cell Lymphoma,C0079774,NCT01652014,Withdrawn,Phase 2,Funding unavailable
,DB00726,Dementia,C0497327,NCT02374567,Terminated,Phase 3,
,DB00476,Dementia,C0497327,NCT02374567,Terminated,Phase 3,
sildenafil,DB00203,Pulmonary Hypertension,C0020542,NCT00796510,Terminated,Phase 3,"Safety Issue: The trial was prematurely terminated on Dec 9, 2010, due to safety concerns, specifically new emerging evidence of hepatic injury"
methotrexate,DB00563,Rheumatoid Arthritis,C0003873,NCT00673920,Terminated,Phase 3,"Based on analysis of results and consideration of available treatments, the overall benefit to risk profile of ocrelizumab was not favorable in RA."
enoxaparin sodium,DB01225,Deep Vein Thrombosis,C0149871,NCT03003390,Terminated,Phase 2,Met protocol defined stopping rule for futility
folic acid,DB00158,COVID19 (disease),C5203670,NCT04354428,Terminated,Phase 2/Phase 3,Low number of events contributing to primary outcome
oseltamivir,DB00198,Influenza,C0021400,NCT00873886,Withdrawn,Phase 1,We will focus on other Tamiflu research studies. No subjects were enrolled.
alendronic acid,DB00630,Osteoporosis,C0029456,NCT00822029,Terminated,Phase 3,only 2 patients inclued and Study Principal Investigator has left the hospital
,DB01606,Osteomyelitis,C0029443,NCT02168816,Terminated,Phase 2,"The study was stopped for feasibility (i.e., low recruitment)"
doxorubicin,DB00997,Malignant neoplasm of breast,C0006142,NCT00465673,Terminated,Phase 2,Low recruitment
,DB00852,Allergic rhinitis (disorder),C2607914,NCT01055756,Withdrawn,Phase 3,
,DB00531,Malignant neoplasm of breast,C0006142,NCT00006123,Withdrawn,Phase 1/Phase 2,Never started
infliximab,DB00065,Inflammatory Bowel Diseases,C0021390,NCT02771457,Withdrawn,Phase 3,
aripiprazole,DB01238,Schizophrenia,C0036341,NCT02435836,Terminated,Phase 3,Study terminated when aripiprazole available commercially per protocol
abatacept,DB01281,Sarcoidosis,C0036202,NCT00739960,Terminated,Phase 2,Funding has been pulled
amifostine,DB01143,Retinoblastoma,C0035335,NCT00003926,Terminated,Phase 1,Withdrawn due to slow accrual
hydromorphone,DB00327,Acute onset pain,C0184567,NCT02062879,Terminated,Phase 3,Withdrawals from study due to anticipated effects from study drugs
cyclophosphamide,DB00531,Relapsing acute myeloid leukemia,C2349276,NCT04893915,Withdrawn,Phase 2,No funding support
amikacin,DB00479,"Pneumonia, Bacterial",C0004626,NCT01570192,Terminated,Phase 2,NIAID terminated the study due to low subject enrollment
cyclophosphamide,DB00531,Malignant neoplasm of breast,C0006142,NCT00925548,Terminated,Phase 3,See termination reason in the below Purpose statement
,DB00958,Glioblastoma Multiforme,C1621958,NCT03149575,Terminated,Phase 3,Change in clinical development plan
,DB00860,Non-Small Cell Lung Carcinoma,C0007131,NCT03661567,Terminated,Phase 2,slow enrollment
,DB00864,Malignant Neoplasm (Morphology),C1288351,NCT01871441,Terminated,Phase 2,Trial was closed due to poor accrual.
paroxetine,DB00715,Generalized Anxiety Disorder,C0270549,NCT00658372,Terminated,Phase 3,Please see Detailed Description for termination reason.
ketorolac,DB00465,Trigeminal Neuralgia,C0040997,NCT04353505,Withdrawn,Phase 1,PI closed the study before any enrollment
docetaxel,DB01248,Malignant neoplasm of breast,C0006142,NCT00539968,Terminated,Phase 1/Phase 2,
,DB00316,Pain,C0030193,NCT03792295,Withdrawn,Phase 2,"no enrollment, reallocation of resources"
,DB00126,Glioblastoma Multiforme,C1621958,NCT04900792,Suspended,Phase 1,Toxicity assessment per protocol
,DB00065,Rheumatoid Arthritis,C0003873,NCT00808210,Terminated,Phase 2,"Based on analysis of results and consideration of available treatments, the overall benefit to risk profile of ocrelizumab was not favorable in RA."
varenicline,DB01273,"Alcoholic Intoxication, Chronic",C0001973,NCT01169610,Terminated,Phase 3,
lovastatin,DB00227,Malignant neoplasm of breast,C0006142,NCT00584012,Terminated,Phase 1,Funding issues
lenalidomide,DB00480,Multiple Myeloma,C0026764,NCT02897830,Terminated,Phase 2,negatives results
,DB01181,Malignant neoplasm of breast,C0006142,NCT00006032,Terminated,Phase 2,low accrual
,DB00002,Non-Small Cell Lung Carcinoma,C0007131,NCT00203931,Terminated,Phase 2,Slow accrual and evidence from other studies showing benefit of early initiation of pemetrexed after first-line therapy
,DB00958,Non-Small Cell Lung Carcinoma,C0007131,NCT00264134,Terminated,Phase 1/Phase 2,
deferasirox,DB01609,Chronic eosinophilic leukemia,C0346421,NCT01159067,Terminated,Phase 2,Low enrollment
atomoxetine,DB00289,Schizophrenia,C0036341,NCT00548327,Terminated,Phase 2,The scientific director decided to terminate: low priority study with slow accrual
teriparatide,DB06285,Osteoporosis,C0029456,NCT00624481,Withdrawn,Phase 2,
everolimus,DB01590,"Myeloid Leukemia, Chronic",C0023473,NCT01188889,Withdrawn,Phase 1/Phase 2,Unable to obtain sufficient funding.
decitabine,DB01262,Primary Myelofibrosis,C0001815,NCT04283526,Withdrawn,Phase 1,This study was cancelled before enrolling any patients for business related reasons.
dexamethasone phosphate,DB01234,Malignant neoplasm of breast,C0006142,NCT00215748,Terminated,Phase 2,slow accrual
olanzapine,DB00334,Schizoaffective Disorder,C0036337,NCT00734435,Terminated,Phase 2,Sponsor Decision- Financial Considerations
,DB06186,Non-Small Cell Lung Carcinoma,C0007131,NCT03509584,Terminated,Phase 1,SAFETY
bevacizumab,DB00112,Retinopathy of Prematurity,C0035344,NCT01232777,Withdrawn,Phase 2,Lack of funding
fentanyl,DB00813,Labor Pain,C0474368,NCT00871442,Withdrawn,Phase 3,would not substantially add to existing contributions in the literature
,DB00679,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,
carboplatin,DB00958,Malignant neoplasm of breast,C0006142,NCT00118053,Terminated,Phase 2,slow accrual
insulin glargine,DB00030,Diabetes Mellitus,C0011849,NCT00990444,Suspended,Phase 1/Phase 2,
arsenic trioxide,DB01169,"Thrombocythemia, Essential",C0040028,NCT01014546,Terminated,Phase 1,low accrual
ephedrine,DB01364,Rhinitis,C0035455,NCT01177852,Withdrawn,Phase 3,
aripiprazole,DB01238,Bipolar Disorder,C0005586,NCT00338273,Withdrawn,Phase 3,
primaquine,DB01087,Malaria,C0024530,NCT01290601,Terminated,Phase 2,Failure to meet pre-specified endpoint for the day 28 cure rate
natalizumab,DB00108,"Multiple Sclerosis, Secondary Progressive",C0751965,NCT01416181,Terminated,Phase 3,The ASCEND Study did not achieve statistical significance on the primary or secondary endpoints.
,DB01008,Refractory acute myeloid leukemia,C4528668,NCT03602898,Withdrawn,Phase 2,Insufficient funding
topiramate,DB00273,Prader-Willi Syndrome,C0032897,NCT02810483,Terminated,Phase 3,
,DB00515,Malignant neoplasm of breast,C0006142,NCT01194869,Terminated,Phase 2,"Slow accrual, availability of other clinical options"
lorazepam,DB00186,Nausea,C0027497,NCT00429702,Terminated,Phase 2,Closed due to poor accrual and lack of feasibility to finish study per DSMB
tacrolimus,DB00864,Marginal Zone B-Cell Lymphoma,C1367654,NCT02877082,Terminated,Phase 2,
riluzole,DB00740,Malignant neoplasm of breast,C0006142,NCT00903214,Withdrawn,Phase 1,Funding ended
colecalciferol,DB00169,Vitamin D Deficiency,C0042870,NCT04840238,Suspended,Phase 2,insufficient recruit activity
paclitaxel,DB01229,Malignant neoplasm of breast,C0006142,NCT04066790,Terminated,Phase 2,We terminated this trial and initiated a new one including pertuzumab.
,DB01239,Dementia,C0497327,NCT02374567,Terminated,Phase 3,
nivolumab,DB09035,Non-Small Cell Lung Carcinoma,C0007131,NCT03509584,Terminated,Phase 1,SAFETY
,DB00531,Peripheral T-Cell Lymphoma,C0079774,NCT00632827,Terminated,Phase 2,Manufacturing shortage of both Diftitox and Doxil
naproxen,DB00788,Migraine Disorders,C0149931,NCT01390324,Withdrawn,Phase 3,
prednisone,DB00635,Polymyalgia Rheumatica,C0032533,NCT01364389,Terminated,Phase 2,Data did not show that the two biologic treatments impacted PMR disease activity to the same degree as steroid treatment within a 2-week treatment period.
midazolam,DB00683,Dyspnea,C0013404,NCT01687751,Withdrawn,Phase 2,Study design determined to be not likely feasible
,DB01268,Gastrointestinal Stromal Tumors,C0238198,NCT00573404,Terminated,Phase 1,slow accrual
hydroxychloroquine,DB01611,COVID19 (disease),C5203670,NCT04351516,Withdrawn,Phase 2/Phase 3,No Patients enrolled
methylprednisolone,DB00959,Labor Pain,C0474368,NCT02212210,Terminated,Early Phase 1,PI permanently closed accrual for the study based on FDA warning issued in April 2014. Study is closed
mitoxantrone,DB01204,"Multiple Sclerosis, Acute Relapsing",C0393664,NCT05496894,Withdrawn,Phase 2,"Due to the company's project adjustment, decided to stop this study"
etanercept,DB00005,Lichen Planus,C0023646,NCT00285779,Terminated,Phase 2,Slow recruitment
,DB00399,Pain,C0030193,NCT00099177,Terminated,Phase 3,
ondansetron,DB00904,Chemotherapy-induced nausea and vomiting,C0401160,NCT03237611,Suspended,Phase 2,Expired IRB approval on 2/11/21
everolimus,DB01590,Malignant neoplasm of breast,C0006142,NCT02236572,Terminated,Phase 2,"Phase 2 of recruitment was contingent on 5 of 15 patients responding, which did not occur."
,DB01223,Non-Small Cell Lung Carcinoma,C0007131,NCT01799161,Withdrawn,Phase 1,Insufficient funding
atorvastatin,DB01076,"Sleep Apnea, Obstructive",C0520679,NCT00669695,Terminated,Phase 2,Interim analysis performed without efficient results
rosiglitazone,DB00412,Chronic Kidney Diseases,C1561643,NCT00452166,Terminated,Phase 3,it was not possible to recruit new patients anymore
,DB01234,Acute lymphoblastic leukemia - category,C1531702,NCT01483690,Terminated,Phase 1/Phase 2,Toxicity
,DB00425,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,
ceftibuten,DB01415,Pyelonephritis,C0034186,NCT00724256,Terminated,Phase 3,other upcoming studies; patients refusal of invasive follow up (DMSA)
,DB01042,Multiple Myeloma,C0026764,NCT01055301,Withdrawn,Phase 2,lack of accrual
,DB01008,Acute lymphoblastic leukemia - category,C1531702,NCT04282174,Withdrawn,Phase 2,Study was split into two new studies before the first participant was enrolled.
natalizumab,DB00108,"Multiple Sclerosis, Relapsing-Remitting",C0751967,NCT01058005,Terminated,Phase 3,"Due to significantly slower than expected enrollment, the Sponsor decided to terminate the study."
latanoprost,DB00654,Glaucoma,C0017601,NCT00855517,Withdrawn,Phase 2,Sponsor's decision
,DB01217,Malignant neoplasm of breast,C0006142,NCT00661531,Terminated,Phase 2,Poor accrual
naproxen,DB00788,Migraine Disorders,C0149931,NCT01726920,Withdrawn,Phase 3,"Due to budget limitations, the company decided to withdraw this study."
dexamethasone phosphate,DB00537,Acute otitis media,C0271429,NCT01908803,Terminated,Phase 2,Management decision
adenosine,DB00640,Heart failure,C0018801,NCT00745316,Terminated,Phase 2,Company Decision
melphalan,DB01042,Multiple Myeloma,C0026764,NCT00516191,Withdrawn,Phase 1/Phase 2,low accrual
enoxaparin sodium,DB01225,COVID19 (disease),C5203670,NCT04492254,Terminated,Phase 3,"Average event rate (end point) was much lower than expected. A larger sample size would have been required to maintain same statistical power, which was not achievable in a feasible time scale. No safety concerns were identified with bleeding."
thiamine,DB00152,Cardiac Arrest,C0018790,NCT03450707,Terminated,Phase 2,DSMB recommendation based on differing mortality in a subgroup analysis
cyclophosphamide,DB00531,Malignant neoplasm of breast,C0006142,NCT01229605,Withdrawn,Phase 2,Study was not a good fit for the patient population seen at this hospital.
,DB00764,Asthma,C0004096,NCT01026870,Withdrawn,Phase 3,
,DB01177,Acute lymphoblastic leukemia - category,C1531702,NCT00187005,Terminated,Phase 3,Toxicity
,DB00126,Primary Myelofibrosis,C0001815,NCT01014546,Terminated,Phase 1,low accrual
,DB12153,Ischemic stroke,C0948008,NCT02823106,Withdrawn,Phase 1,Study put on clinical hold by FDA. Sponsor decided to no pursue the study.
sildenafil,DB00203,Pulmonary Hypertension,C0020542,NCT03997097,Withdrawn,Phase 3,New sponsor
,DB00399,Multiple Myeloma,C0026764,NCT00215943,Terminated,Phase 3,"Poor accrual, changes in management of newly diagnosed myeloma patients, new drugs/more effective regimens."
fenofibrate,DB01039,Dyslipidemias,C0242339,NCT00362765,Terminated,Phase 2/Phase 3,"The study was prematurely terminated, due to difficulties in the recruitment of T2DM patients who are not under statin therapy at inclusion."
dexamethasone phosphate,DB01234,Malignant neoplasm of breast,C0006142,NCT01698281,Terminated,Phase 2,Poor recruitment
leucovorin,DB00650,Non-Small Cell Lung Carcinoma,C0007131,NCT03169738,Withdrawn,Phase 1/Phase 2,Trial not initiated
cyclophosphamide,DB00531,Non-Small Cell Lung Carcinoma,C0007131,NCT04025216,Terminated,Phase 1,The sponsor finds the risk/benefit analysis unfavorable and has terminated the study.
anastrozole,DB01217,Malignant neoplasm of breast,C0006142,NCT00481845,Terminated,Phase 2,Low accrual
hydrocortamate,DB00741,Allergic Conjunctivitis,C0009766,NCT01860664,Terminated,Phase 2,The Sponsor has stopped responding to calls and emails
,DB00544,Non-Small Cell Lung Carcinoma,C0007131,NCT03169738,Withdrawn,Phase 1/Phase 2,Trial not initiated
,DB00615,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
,DB01008,Neuroblastoma,C0027819,NCT00801931,Terminated,Phase 1/Phase 2,Poor accrual
,DB11596,Biliary Tract Cancer,C0750952,NCT03110510,Withdrawn,Phase 2,institution problem
lenalidomide,DB00480,Multiple Myeloma,C0026764,NCT01675141,Terminated,Phase 2,Original investigator left the NIH and the primary outcome was not reached
,DB00853,Ewings sarcoma,C0553580,NCT01313884,Terminated,Phase 2,Study did not reach primary objective; study did not accrue enough patients.
sildenafil,DB00203,Atherosclerosis,C0004153,NCT02908490,Terminated,Phase 2,"Slow recruitment, lack of continued funding"
oxytocin,DB00107,Obesity,C0028754,NCT03497988,Withdrawn,Phase 2,"Grant proposal not funded, study has been withdrawn with IRB"
,DB01329,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
,DB00262,Multiple Myeloma,C0026764,NCT01500161,Terminated,Phase 2,Insufficient accruals
dobutamine,DB00841,Asthma,C0004096,NCT00763035,Terminated,Early Phase 1,Potential participants with COPD/asthma unwilling to participate.
estradiol,DB00783,"Depression, Postpartum",C0221074,NCT00059228,Terminated,Phase 2,
,DB00541,Retinoblastoma,C0035335,NCT00003273,Withdrawn,Phase 2,
palonosetron,DB00377,Malignant tumor of small intestine,C0153425,NCT00903396,Terminated,Phase 2,Slow accrual
,DB01217,Malignant neoplasm of breast,C0006142,NCT00053911,Terminated,Phase 3,
,DB00820,Glaucoma,C0017601,NCT04052269,Suspended,Phase 3,suspended due to COVID
everolimus,DB01590,Glioblastoma Multiforme,C1621958,NCT00515086,Terminated,Phase 2,Early termination due to slow enrollment and protocol-defined stopping rule.
docetaxel,DB01248,Rhabdomyosarcoma,C0035412,NCT05116800,Withdrawn,Phase 2,IND withdrawn
,DB00633,Nausea,C0027497,NCT01687751,Withdrawn,Phase 2,Study design determined to be not likely feasible
arsenic trioxide,DB01169,Primary Myelofibrosis,C0001815,NCT01014546,Terminated,Phase 1,low accrual
ganciclovir,DB01004,Herpes zoster keratitis,C1275687,NCT02382588,Terminated,Phase 2,There were difficulties meeting the enrollment goal within stipulated time frames.
docetaxel,DB01248,Malignant neoplasm of breast,C0006142,NCT00852332,Terminated,Phase 2,The trial was stopped for futility in view of the results of the anticipated analysis
,DB00997,leiomyosarcoma,C0023269,NCT03437070,Withdrawn,Phase 1,Sponsor Decision
,DB00073,Marginal Zone B-Cell Lymphoma,C1367654,NCT04745832,Terminated,Phase 3,Discontinuation of zandelisib program
colecalciferol,DB00169,Obesity,C0028754,NCT01728987,Withdrawn,Phase 2,study stopped due to Financial problems
,DB00853,Neuroblastoma,C0027819,NCT01505608,Terminated,Phase 1/Phase 2,Lack of Enrollment
pemetrexed,DB00642,Non-Small Cell Lung Carcinoma,C0007131,NCT04470674,Withdrawn,Phase 2,Lack of Accrual
,DB00635,Atherosclerosis,C0004153,NCT00311311,Terminated,Phase 3,See termination reason in detailed description.
adalimumab,DB00051,Rheumatoid Arthritis,C0003873,NCT02097264,Withdrawn,Phase 2,
tocofibrate,DB00163,Hospital acquired pneumonia,C0949083,NCT01897792,Terminated,Phase 2,Inability to recruit patients that meet inclusion criteria.
octreotide,DB00104,Neuroblastoma,C0027819,NCT02177773,Terminated,Phase 1/Phase 2,FDA approved agent for this indication during enrollment
atorvastatin,DB01076,Acute Coronary Syndrome,C0948089,NCT01187992,Terminated,Phase 3,Interim analysis showed significant effect in favour of full-dose atorvastatin.
thiamine,DB00152,Thiamine Deficiency,C0039841,NCT02974257,Terminated,Phase 2,Study stopped early after consultation with DSMB
colecalciferol,DB00169,Vitamin D Deficiency,C0042870,NCT02868827,Terminated,Phase 2/Phase 3,The initial plan was 2 years but due to slow recruitment. We were able to screen 635 patients in 4 years and recruited only 127 patients.
rimonabant,DB06155,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,NCT00478595,Terminated,Phase 3,Company decision taken in light of demands by certain national health authorities
memantine,DB01043,Chronic schizophrenia,C0221765,NCT00148616,Terminated,Phase 3,
,DB14644,Neuromyelitis Optica,C0027873,NCT02087813,Withdrawn,Phase 1,
,DB00073,Thrombocytopenia due to platelet alloimmunization,C0272286,NCT02649504,Withdrawn,Phase 3,
ibuprofen,DB01050,"Pain, Postoperative",C0030201,NCT02254525,Terminated,Phase 3,Sample not reached in traumathology arm
everolimus,DB01590,Malignant neoplasm of breast,C0006142,NCT01272141,Terminated,Phase 2,"Slow accrual, Funding stopped"
,DB00945,Myocardial Infarction,C0027051,NCT00557921,Terminated,Phase 3,Terminated by Sponsor
risperidone,DB00734,Schizophrenia,C0036341,NCT00768612,Withdrawn,Phase 2,
lidocaine,DB00281,Pain,C0030193,NCT00924963,Withdrawn,Early Phase 1,Study ended due to lack of funding.
,DB00515,Non-Small Cell Lung Carcinoma,C0007131,NCT00291850,Terminated,Phase 2,no patient recruitment
,DB00810,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,
,DB14644,Scleroderma,C0011644,NCT03593902,Terminated,Phase 2/Phase 3,PI Sabbatical
,DB01229,Malignant neoplasm of breast,C0006142,NCT00756470,Terminated,Phase 2,Slow accrual.
docetaxel,DB01248,Rhabdomyosarcoma,C0035412,NCT04906876,Withdrawn,Phase 2,IND withdrawn
,DB00112,Glioblastoma Multiforme,C1621958,NCT00735436,Terminated,Phase 2,Study enrollment was halted due to slow accrual.
colchicine,DB01394,COVID19 (disease),C5203670,NCT04375202,Terminated,Phase 2,Insufficient rate of patient accrual and newly available scientific evidence
flumazenil,DB01205,Cardiac Arrest,C0018790,NCT03743805,Withdrawn,Early Phase 1,Insufficient patients
ranibizumab,DB01270,Age related macular degeneration,C0242383,NCT00726466,Withdrawn,Phase 1,Lack of recruitment
warfarin,DB00682,Idiopathic Pulmonary Fibrosis,C1800706,NCT00957242,Terminated,Phase 3,Excess of mortality in the treatment group created safety concerns.
rifaximin,DB01220,Irritable Bowel Syndrome,C0022104,NCT03462966,Terminated,Phase 2,recruitment challenges
erlotinib,DB00530,Polycythemia Vera,C0032463,NCT01038856,Terminated,Phase 2,The study was terminated by the sponsor
celecoxib,DB00482,Endocrine exophthalmos,C0155264,NCT02845336,Terminated,Phase 2,Poor enrollment
,DB11476,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
ertapenem,DB00303,Endometritis,C0014179,NCT01587495,Terminated,Phase 1,study terminated due to low subject accrual
capecitabine,DB01101,Malignant neoplasm of breast,C0006142,NCT00347438,Terminated,Phase 2,a result of slow accrual
,DB01112,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
nivolumab,DB09035,Squamous non-small cell lung cancer,C4509816,NCT02924233,Withdrawn,Phase 1/Phase 2,Symphogen made a business decision to no longer perform the clinical study
,DB00864,Autoimmune Chronic Hepatitis,C0241910,NCT00608894,Terminated,Phase 2,Study was discontinued due to slow enrollment
,DB01234,Vomiting,C0042963,NCT00429702,Terminated,Phase 2,Closed due to poor accrual and lack of feasibility to finish study per DSMB
,DB00958,Non-Small Cell Lung Carcinoma,C0007131,NCT03840902,Terminated,Phase 2,"Based on recommendations by an external IDMC, Sponsor decided to discontinue this clinical study due to a low likelihood of achieving superiority in the efficacy endpoints versus standard of care."
,DB00104,Hepatorenal Syndrome,C0019212,NCT01587222,Withdrawn,Phase 2,the sponsor did not provide the treatment
bendamustine,DB06769,Marginal Zone B-Cell Lymphoma,C1367654,NCT02576275,Withdrawn,Phase 3,The scope of the program has been reduced to focus resources on studies which can potentially enable the registration of duvelisib.
octreotide,DB00104,Acromegaly,C0001206,NCT03571594,Terminated,Phase 1,The study met a pre-defined protocol study stopping criteria
