drug_name,drugbank_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
pyrithione,DB06815,Nasal congestion (finding),C0027424,,Approved,,
zolpidem,DB00425,Initial insomnia,C0393760,,Approved,,
gatifloxacin,DB01044,Streptococcal pneumonia,C0155862,,Approved,,
vindesine,DB00309,Acute lymphocytic leukemia,C0023449,,Approved,,
oxedrine,DB09203,Nasal congestion (finding),C0027424,,Approved,,
testosterone cypionate,DB00624,Hormone receptor positive malignant neoplasm of breast,C1562029,,Approved,,
methotrexate,DB00563,Psoriasis,C0033860,,Approved,,
chlorzoxazone,DB00356,Muscle Spasticity,C0026838,,Approved,,
norethisterone,DB00717,Female hypogonadism syndrome,C0271578,,Approved,,
inotersen,DB14713,Amyloid Neuropathies,C0206247,,Approved,,
ibuprofen,DB01050,Fever,C0015967,,Approved,,
relugolix,DB11853,Uterine Fibroids,C0042133,,Approved,,
lithium citrate,DB14509,Bipolar Disorder,C0005586,,Approved,,
hydrocortisone,DB00741,Sarcoidosis,C0036202,,Approved,,
ampicillin,DB00415,Bacterial sepsis,C0684256,,Approved,,
triamcinolone diacetate,DB00620,Acquired thrombocytopenia,C0154301,,Approved,,
diphenylpyraline,DB01146,"Rhinitis, Vasomotor",C0035460,,Approved,,
amphotericin B,DB00681,Yaws,C0043388,,Approved,,
glycopyrronium bromide,DB00986,Hyperhidrosis of axilla,C0580182,,Approved,,
etoposide phosphate,DB00773,Malignant neoplasm of testis,C0153594,,Approved,,
nicotinic acid,DB00627,Vitamin Deficiency,C1510471,,Approved,,
testosterone,DB00624,Hormone receptor positive malignant neoplasm of breast,C1562029,,Approved,,
choline magnesium trisalicylate,DB00122,Rheumatoid Arthritis,C0003873,,Approved,,
prednisolone,DB00860,Uveitis,C0042164,,Approved,,
cimetidine,DB00501,Dyspepsia,C0013395,,Approved,,
fusidic acid,DB02703,Infective blepharitis,C0729587,,Approved,,
sitafloxacin,DB13261,Urinary tract infection,C0042029,,Approved,,
benperidol,DB12867,Antisocial behavior,C0233523,,Approved,,
calcium chloride,DB01164,Hyperkalemia,C0020461,,Approved,,
ferrous fumarate,DB14491,Acne Vulgaris,C0001144,,Approved,,
triamcinolone diacetate,DB00620,Ankylosing spondylitis,C0038013,,Approved,,
alclometasone dipropionate,DB00240,Pruritus of genital organs,C0033777,,Approved,,
cefotetan,DB01330,Group A Streptococcal Infections,C0554628,,Approved,,
chlorphenamine,DB01114,Hay fever,C0018621,,Approved,,
cefapirin,DB01139,Arthropathy associated with infection,C0157749,,Approved,,
clemastine,DB00283,Urticaria,C0042109,,Approved,,
clobetasone butyrate,DB13158,Eczema,C0013595,,Approved,,
tetracycline,DB00759,Acute gonococcal epididymo-orchitis,C0153193,,Approved,,
trometamol,DB03754,Allergic Conjunctivitis,C0009766,,Approved,,
doxorubicin,DB00997,AIDS with Kaposi's sarcoma,C0276535,,Approved,,
pheniramine,DB01620,Sore Throat,C0242429,,Approved,,
carindacillin,DB09319,Bacterial urinary infection,C0729524,,Approved,,
magnesium carbonate,DB09481,Constipation,C0009806,,Approved,,
fluocinonide,DB01047,Psoriasis of scalp,C0406326,,Approved,,
ofloxacin,DB01165,Urinary tract infection caused by Escherichia coli,C0577708,,Approved,,
bosentan,DB00559,Scleroderma,C0011644,,Approved,,
cefazolin,DB01327,Arthropathy associated with infection,C0157749,,Approved,,
allantoin,DB11100,Skin irritation,C0152030,,Approved,,
cinchocaine,DB00527,Skin irritation,C0152030,,Approved,,
hydroxyzine,DB00557,Urticaria,C0042109,,Approved,,
zonisamide,DB00909,Lewy Body Disease,C0752347,,Approved,,
cefotetan,DB01330,Urinary tract infection caused by Escherichia coli,C0577708,,Approved,,
revaprazan,DB16308,Gastro-esophageal reflux disease with esophagitis,C0677659,,Approved,,
triamcinolone acetonide,DB00620,Epicondylitis,C0014488,,Approved,,
erdosteine,DB05057,Accidental poisoning by lead and its compounds and fumes,C0261486,,Approved,,
doxycycline,DB00254,Gonorrhea of pharynx,C0149966,,Approved,,
pasireotide,DB06663,Adrenal Gland Hyperfunction,C0001622,,Approved,,
flumetasone,DB00663,"Lymphoma, T-Cell, Cutaneous",C0079773,,Approved,,
cefoxitin,DB01331,Urinary tract infection caused by Escherichia coli,C0577708,,Approved,,
taurine,DB01956,MELAS Syndrome,C0162671,,Approved,,
alclometasone dipropionate,DB00240,"Dermatitis, Atopic",C0011615,,Approved,,
carbenicillin,DB00578,prostatitis,C0033581,,Approved,,
amphotericin B,DB00681,Pneumonia,C0032285,,Approved,,
procyclidine,DB00387,Parkinsonian Disorders,C0242422,,Approved,,
ruxolitinib,DB08877,Polycythemia Vera,C0032463,,Approved,,
risdiplam,DB15305,Spinal Muscular Atrophy,C0026847,,Approved,,
prednisolone,DB00860,Pruritus Ani,C0033775,,Approved,,
rifapentine,DB01201,"Tuberculosis, Pulmonary",C0041327,,Approved,,
pembrolizumab,DB09037,Microsatellite instability-high colorectal cancer,C4544822,,Approved,,
aztreonam,DB00355,Urinary tract infection,C0042029,,Approved,,
indinavir,DB00224,HIV Infections,C0019693,,Approved,,
primidone,DB00794,Tonic-Clonic Epilepsy,C0014549,,Approved,,
verteporfin,DB00460,Exudative age-related macular degeneration,C0271084,,Approved,,
scopolamine,DB00747,"Rhinitis, Vasomotor",C0035460,,Approved,,
ergocalciferol,DB11094,Osteoporosis,C0029456,,Approved,,
fesoterodine,DB06702,Urge Incontinence,C0150045,,Approved,,
ibopamine,DB13917,Heart failure,C0018801,,Approved,,
voriconazole,DB00582,Candidiasis of the esophagus,C0239295,,Approved,,
calcium lactate,DB13231,Hypocalcemic tetany,C0151940,,Approved,,
hydrocortisone succinate,DB14545,Berylliosis,C0005138,,Approved,,
clavulanic acid,DB00766,Bacterial urinary infection,C0729524,,Approved,,
pramocaine,DB09345,Pruritus Ani,C0033775,,Approved,,
methdilazine,DB00902,Nasal congestion (finding),C0027424,,Approved,,
dexamethasone,DB01234,Cerebral Edema,C0006114,,Approved,,
dantrolene,DB01219,Malignant hyperpyrexia due to anesthesia,C0024591,,Approved,,
ceftolozane,DB09050,Cholecystitis,C0008325,,Approved,,
sacubitril,DB09292,Chronic heart failure,C0264716,,Approved,,
hydrocortisone succinate,DB00741,Exfoliative dermatitis,C0011606,,Approved,,
rituximab,DB00073,Microscopic Polyarteritis,C2347126,,Approved,,
dexamethasone,DB01234,Sarcoidosis,C0036202,,Approved,,
aripiprazole lauroxil,DB14185,Schizophrenia,C0036341,,Approved,,
pazufloxacin,DB11774,Sepsis caused by Streptococcus pneumoniae,C2887084,,Approved,,
betamethasone,DB00443,Scalp Dermatoses,C0036271,,Approved,,
chloral hydrate,DB01563,Sleeplessness,C0917801,,Approved,,
zuclopenthixol,DB13841,Schizophrenia,C0036341,,Approved,,
dexamethasone,DB01234,Simple Pulmonary Eosinophilia,C0242459,,Approved,,
secukinumab,DB09029,Ankylosing spondylitis,C0038013,,Approved,,
betahistine,DB06698,Meniere Disease,C0025281,,Approved,,
prednisone,DB00635,Multiple Sclerosis,C0026769,,Approved,,
fluticasone propionate,DB13867,Seborrheic dermatitis,C0036508,,Approved,,
papaverine,DB01113,Peripheral Vascular Diseases,C0085096,,Approved,,
ofloxacin,DB01165,Chlamydial pneumonia,C0339959,,Approved,,
minocycline,DB01017,Gonorrhea of pharynx,C0149966,,Approved,,
sulfadiazine,DB00359,Skin Ulcer,C0037299,,Approved,,
ertapenem,DB00303,Urinary tract infection caused by Escherichia coli,C0577708,,Approved,,
clobetasol propionate,DB01013,"Dermatitis, Atopic",C0011615,,Approved,,
levonorgestrel,DB09389,Dysmenorrhea,C0013390,,Approved,,
pyrithione,DB06815,Allergic rhinitis (disorder),C2607914,,Approved,,
salicylic acid,DB13860,Degenerative polyarthritis,C0029408,,Approved,,
dirithromycin,DB00954,Bronchitis,C0006277,,Approved,,
betamethasone acetate,DB00443,Thyroiditis,C0040147,,Approved,,
interferon alfa-2b,DB15131,AIDS with Kaposi's sarcoma,C0276535,,Approved,,
bimekizumab,DB12917,Erythrodermic psoriasis,C0748052,,Approved,,
doxycycline,DB00254,Scrub Typhus,C0036472,,Approved,,
esomeprazole,DB00736,Peptic Esophagitis,C0014869,,Approved,,
sparfloxacin,DB01208,Haemophilus influenzae pneumonia,C0276026,,Approved,,
caffeine,DB00201,Rhinorrhea,C1260880,,Approved,,
brinzolamide,DB01194,"Glaucoma, Open-Angle",C0017612,,Approved,,
imipenem,DB01598,Streptococcal pneumonia,C0155862,,Approved,,
loteprednol etabonate,DB00873,Allergic Conjunctivitis,C0009766,,Approved,,
alimemazine,DB01246,Angioedema,C0002994,,Approved,,
quinidine,DB00908,Malaria,C0024530,,Approved,,
carbinoxamine,DB00748,Pruritus,C0033774,,Approved,,
apremilast,DB05676,Chronic small plaque psoriasis,C0406317,,Approved,,
dexamethasone,DB01234,Asthma,C0004096,,Approved,,
baricitinib,DB11817,Pneumonia caused by SARS-CoV-2,C5244027,,Approved,,
clobetasol propionate,DB11750,Chronic small plaque psoriasis,C0406317,,Approved,,
velpatasvir,DB11613,"Hepatitis C, Chronic",C0524910,,Approved,,
tolterodine,DB01036,Urge Incontinence,C0150045,,Approved,,
ipragliflozin,DB11698,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
prednisolone,DB00860,Asthma,C0004096,,Approved,,
piroxicam,DB00554,Rheumatoid Arthritis,C0003873,,Approved,,
methylphenobarbital,DB00849,Epilepsy,C0014544,,Approved,,
perazine,DB12710,Ascariasis,C0003950,,Approved,,
sulfamethizole,DB00576,Urinary tract infection caused by Escherichia coli,C0577708,,Approved,,
ethadione,DB13799,Absence Epilepsy,C0014553,,Approved,,
triamcinolone acetonide,DB00620,Tendinitis,C0039503,,Approved,,
fluocinonide,DB12553,Chronic discoid lupus erythematosus,C0024138,,Approved,,
tirabrutinib hydrochloride,DB15227,Waldenstrom Macroglobulinemia,C0024419,,Approved,,
crofelemer,DB04941,Non-infective diarrhea,C0267436,,Approved,,
cilastatin,DB01597,Bacterial infection due to Klebsiella pneumoniae,C0343402,,Approved,,
nitroprusside,DB00325,Hypertensive urgency,C0745138,,Approved,,
pemetrexed,DB00642,Non-Small Cell Lung Carcinoma,C0007131,,Approved,,
allopurinol,DB00437,Calcium renal calculus,C1959799,,Approved,,
inositol,DB13178,Hypercholesterolemia,C0020443,,Approved,,
ceftolozane,DB09050,Urinary tract infection,C0042029,,Approved,,
cefonicid,DB01328,Streptococcal sepsis,C0152964,,Approved,,
piperacillin,DB00319,Hospital acquired pneumonia,C0949083,,Approved,,
lipegfilgrastim,DB13200,Chemotherapy induced neutropenia,C1827687,,Approved,,
etodolac,DB00749,Degenerative polyarthritis,C0029408,,Approved,,
amfetamine,DB00182,Attention deficit hyperactivity disorder,C1263846,,Approved,,
ibuprofen,DB01050,Patent ductus arteriosus,C0013274,,Approved,,
selpercatinib,DB15685,Medullary carcinoma of thyroid,C0238462,,Approved,,
tigecycline,DB00560,Complicated appendicitis,C1632842,,Approved,,
ponatinib,DB08901,"Myeloid Leukemia, Chronic",C0023473,,Approved,,
mometasone furoate,DB14512,Allergic rhinitis (disorder),C2607914,,Approved,,
magnesium aspartate,DB13359,Incomplete passage of stool,C0426639,,Approved,,
oxaprozin,DB00991,Degenerative polyarthritis,C0029408,,Approved,,
lincomycin,DB01627,Pneumococcal Infections,C0032269,,Approved,,
hydrocortisone acetate,DB14539,Cerebral Edema,C0006114,,Approved,,
aceclofenac,DB06736,Back Pain,C0004604,,Approved,,
diprophylline,DB00651,Bronchospasm,C0006266,,Approved,,
lorazepam,DB00186,Lennox-Gastaut syndrome,C0238111,,Approved,,
loracarbef,DB00447,Bronchitis,C0006277,,Approved,,
salicylic acid,DB14006,Tinea Pedis,C0040259,,Approved,,
cefamandole,DB01326,Proteus urinary tract infection,C0577709,,Approved,,
metizoline,DB13614,Nasal congestion (finding),C0027424,,Approved,,
butamben,DB11148,Pruritus,C0033774,,Approved,,
triamcinolone,DB00620,Lichen Simplex Chronicus,C0149922,,Approved,,
loteprednol etabonate,DB14596,Ocular Rosacea,C0406486,,Approved,,
cortisone acetate,DB01380,Tendinitis,C0039503,,Approved,,
sulfamethoxazole,DB01015,Acute otitis media,C0271429,,Approved,,
cefradine,DB01333,Urinary tract infection caused by Escherichia coli,C0577708,,Approved,,
betamethasone,DB00443,"Lymphoma, T-Cell, Cutaneous",C0079773,,Approved,,
tibolone,DB09070,"Osteoporosis, Postmenopausal",C0029458,,Approved,,
streptozocin,DB00428,Neuroendocrine tumor of pancreas,C4305467,,Approved,,
clobetasol propionate,DB01013,Scalp Dermatoses,C0036271,,Approved,,
fluconazole,DB00196,Septicemia candida,C0349009,,Approved,,
clocortolone pivalate,DB00838,Chronic small plaque psoriasis,C0406317,,Approved,,
aclidinium bromide,DB08897,Chronic Obstructive Airway Disease,C0024117,,Approved,,
ketoconazole,DB01026,Tinea Pedis,C0040259,,Approved,,
triamcinolone acetonide,DB00620,Acquired thrombocytopenia,C0154301,,Approved,,
pyrithione,DB06815,Rhinorrhea,C1260880,,Approved,,
beclometasone dipropionate,DB00394,Rhinitis,C0035455,,Approved,,
fentanyl,DB00813,Breakthrough cancer pain,C2721580,,Approved,,
norfloxacin,DB01059,Acute exacerbation of chronic bronchitis,C0856695,,Approved,,
budesonide,DB01222,Primary immunoglobulin A nephropathy (disorder),C3161650,,Approved,,
toloxatone,DB09245,Depressive disorder,C0011581,,Approved,,
tripelennamine,DB00792,"Rhinitis, Vasomotor",C0035460,,Approved,,
ertapenem,DB00303,Female genital tract infection,C1263758,,Approved,,
lansoprazole,DB00448,Duodenal Ulcer,C0013295,,Approved,,
betamethasone acetate,DB00443,Simple Pulmonary Eosinophilia,C0242459,,Approved,,
ceftriaxone,DB01212,Haemophilus influenzae pneumonia,C0276026,,Approved,,
doripenem,DB06211,Cholecystitis,C0008325,,Approved,,
colecalciferol,DB00169,Hypoparathyroidism,C0020626,,Approved,,
prednisone,DB00635,Diffuse Large B-Cell Lymphoma,C0079744,,Approved,,
zinc oxide,DB09321,Hemorrhoids,C0019112,,Approved,,
paracetamol,DB00316,Fever,C0015967,,Approved,,
triamcinolone acetonide,DB00620,Granuloma Annulare,C0085074,,Approved,,
levobunolol,DB01210,Ocular Hypertension,C0028840,,Approved,,
benzoin,DB14020,Disorder of keratinization,C0475811,,Approved,,
pentoxyverine,DB11186,Allergic rhinitis (disorder),C2607914,,Approved,,
aldesleukin,DB00041,"Leukemia, Myelocytic, Acute",C0023467,,Approved,,
zileuton,DB00744,Intrinsic asthma,C0155880,,Approved,,
demeclocycline,DB00618,Gonorrhea of pharynx,C0149966,,Approved,,
clindamycin phosphate,DB01190,Osteomyelitis due to Staphylococcus aureus,C1997728,,Approved,,
gatifloxacin,DB01044,Haemophilus influenzae pneumonia,C0276026,,Approved,,
ciprofloxacin,DB00537,Infection of bone,C2242472,,Approved,,
magnesium salicylate,DB01397,Bursitis,C0006444,,Approved,,
betamethasone,DB00443,"Lymphoma, Follicular",C0024301,,Approved,,
gentamicin,DB00798,Folliculitis,C0016436,,Approved,,
tenoxicam,DB00469,Arthritis,C0003864,,Approved,,
ferric oxide,DB11576,Arthropod bite wound,C1444173,,Approved,,
amlexanox,DB01025,Aphthous Stomatitis,C0038363,,Approved,,
homatropine,DB11181,Peptic Ulcer,C0030920,,Approved,,
cimetidine,DB00501,Zollinger-Ellison syndrome,C0043515,,Approved,,
ergocalciferol,DB11094,Rickets,C0035579,,Approved,,
dexamethasone,DB01234,Contact Dermatitis,C0011616,,Approved,,
acetylcarnitine,DB08842,Senile dementia,C0011268,,Approved,,
prednisone,DB00635,"Arthritis, Gouty",C0003868,,Approved,,
piperacillin,DB00319,Escherichia coli Infections,C0014836,,Approved,,
desloratadine,DB00967,"Rhinitis, Vasomotor",C0035460,,Approved,,
betamethasone,DB00443,Serum Sickness,C0036830,,Approved,,
ritonavir,DB00503,"Hepatitis C, Chronic",C0524910,,Approved,,
streptomycin,DB01082,Bacterial urinary infection,C0729524,,Approved,,
ampicillin,DB00415,Staphylococcal endocarditis,C0520767,,Approved,,
meclofenamic acid,DB00939,Rheumatoid Arthritis,C0003873,,Approved,,
dobutamine,DB00841,Decompensated cardiac failure,C0581377,,Approved,,
ciprofibrate,DB09064,Hypertriglyceridemia,C0020557,,Approved,,
givosiran,DB15066,"Porphyrias, Hepatic",C0162533,,Approved,,
brexpiprazole,DB09128,Major Depressive Disorder,C1269683,,Approved,,
codeine,DB00318,Common Cold,C0009443,,Approved,,
amantadine,DB00915,"Parkinson Disease, Postencephalitic",C0030568,,Approved,,
cefotetan,DB01330,Staphylococcal Pneumonia,C0032308,,Approved,,
mepyramine,DB06691,Hay fever,C0018621,,Approved,,
streptomycin,DB01082,Chancroids,C0007947,,Approved,,
methylthioninium chloride,DB09241,Methemoglobinemia,C0025637,,Approved,,
glucagon,DB00040,Hypoglycemia due to diabetes mellitus,C0342313,,Approved,,
moroxydine,DB13597,Influenza,C0021400,,Approved,,
acefylline,DB13573,Cardiovascular Diseases,C0007222,,Approved,,
levofloxacin,DB01137,Acute Moraxella catarrhalis bronchitis,C0339932,,Approved,,
tocofersolan,DB00163,Cholestasis,C0008370,,Approved,,
dexamethasone,DB01234,Psoriasis of scalp,C0406326,,Approved,,
procaine benzylpenicillin,DB09320,Bejel,C0004945,,Approved,,
cefuroxime axetil,DB01112,Gonorrhea,C0018081,,Approved,,
betamethasone acetate,DB00443,Acquired thrombocytopenia,C0154301,,Approved,,
avacopan,DB15011,Microscopic Polyarteritis,C2347126,,Approved,,
hydrocortisone succinate,DB00741,Mycosis Fungoides,C0026948,,Approved,,
empagliflozin,DB09038,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
nafarelin,DB00666,Endometriosis,C0014175,,Approved,,
flutamide,DB00499,Prostatic Neoplasms,C0033578,,Approved,,
promethazine,DB01069,Urticaria,C0042109,,Approved,,
cabotegravir,DB11751,Human immunodeficiency virus I infection,C0276500,,Approved,,
benzylpenicillin,DB01053,"Syphilis, Congenital",C0039131,,Approved,,
perazine,DB12710,Nausea,C0027497,,Approved,,
fusidic acid,DB02703,Cholera,C0008354,,Approved,,
perphenazine,DB00850,Schizophrenia,C0036341,,Approved,,
ceftriaxone,DB01212,Peptostreptococcus infection,C1096562,,Approved,,
cefoxitin,DB01331,Streptococcal sepsis,C0152964,,Approved,,
simvastatin,DB00641,Hyperlipoproteinemia Type III,C0020479,,Approved,,
liothyronine,DB00279,Myxedema coma,C0238298,,Approved,,
erythromycin ethyl succinate,DB00199,Urinary tract infection,C0042029,,Approved,,
hydrocortisone acetate,DB00741,Rheumatoid Arthritis,C0003873,,Approved,,
methscopolamine,DB11315,"Rhinitis, Vasomotor",C0035460,,Approved,,
efgartigimod alfa,DB15270,Myasthenia Gravis,C0026896,,Approved,,
terlipressin,DB02638,Hepatorenal Syndrome,C0019212,,Approved,,
methylprednisolone acetate,DB00959,Humoral hypercalcemia of malignancy (disorder),C0149911,,Approved,,
zoledronic acid,DB00399,Osteoporosis,C0029456,,Approved,,
pramocaine,DB09345,Burn injury,C0006434,,Approved,,
piperacillin,DB00319,Abdominal Abscess,C0243001,,Approved,,
norfloxacin,DB01059,Group A Streptococcal Infections,C0554628,,Approved,,
lidocaine,DB00281,Ventricular arrhythmia,C0085612,,Approved,,
aclarubicin,DB11617,"Leukemia, Myelocytic, Acute",C0023467,,Approved,,
atenolol,DB00335,Angina Pectoris,C0002962,,Approved,,
levodopa,DB00988,"Parkinson Disease, Postencephalitic",C0030568,,Approved,,
patisiran,DB14582,Amyloid Neuropathies,C0206247,,Approved,,
modafinil,DB00745,Hypersomnia,C0917799,,Approved,,
fusidic acid,DB02703,Endemic Flea-Borne Typhus,C0041472,,Approved,,
triamcinolone,DB00620,"Tuberculosis, Miliary",C0041321,,Approved,,
enalaprilat,DB09477,Asymptomatic left ventricular systolic dysfunction,C3698411,,Approved,,
hydroxyzine,DB00557,Rhinorrhea,C1260880,,Approved,,
sulfamethizole,DB00576,Klebsiella cystitis,C0520775,,Approved,,
imatinib,DB00619,Idiopathic Hypereosinophilic Syndrome,C0206141,,Approved,,
tetracycline,DB09550,Trachoma,C0040592,,Approved,,
heparin,DB01109,Non-Q wave myocardial infarction,C0542269,,Approved,,
dichloroacetic acid,DB08809,wartlike skin lesion,C0043037,,Approved,,
doxylamine,DB00366,Sneezing,C0037383,,Approved,,
imrecoxib,DB12354,Degenerative polyarthritis,C0029408,,Approved,,
dexamethasone,DB01234,Nephrotic Syndrome,C0027726,,Approved,,
hydrocortisone succinate,DB00741,"Dermatitis, Atopic",C0011615,,Approved,,
methscopolamine,DB00462,Allergic rhinitis (disorder),C2607914,,Approved,,
metreleptin,DB09046,Familial generalized lipodystrophy,C0221032,,Approved,,
methylprednisolone,DB00959,Congenital adrenal hyperplasia,C0001627,,Approved,,
somatrem,DB09098,Pituitary dwarfism,C0013338,,Approved,,
stibophen,DB13236,Schistosomiasis,C0036323,,Approved,,
prednicarbate,DB01130,Granuloma Annulare,C0085074,,Approved,,
codeine,DB00318,Coughing,C0010200,,Approved,,
diflunisal,DB00861,Chronic pain,C0150055,,Approved,,
fluocinolone acetonide,DB00591,Pruritus Ani,C0033775,,Approved,,
collagenase,DB00048,"Dupuytren's disease of finger, with contracture",C0410065,,Approved,,
cefuroxime axetil,DB01112,Lyme Disease,C0024198,,Approved,,
diphenidol,DB01231,Vertigo,C0042571,,Approved,,
sulfadiazine,DB00359,Chorioretinitis,C0008513,,Approved,,
erythromycin,DB00199,Diphtheria,C0012546,,Approved,,
moclobemide,DB01171,Depressive disorder,C0011581,,Approved,,
clotrimazole,DB00257,Diaper Rash,C0011974,,Approved,,
medroxyprogesterone,DB00603,"Osteoporosis, Postmenopausal",C0029458,,Approved,,
ropinirole,DB00268,Parkinson Disease,C0030567,,Approved,,
encorafenib,DB11718,"Malignant melanoma, metastatic",C0860594,,Approved,,
tocofersolan,DB11635,Vitamin E Deficiency,C0042875,,Approved,,
cerivastatin,DB00439,"Hyperlipidemia, Familial Combined",C0020474,,Approved,,
fosfomycin,DB00828,Urinary tract infection,C0042029,,Approved,,
zaleplon,DB00962,Initial insomnia,C0393760,,Approved,,
nizatidine,DB00585,Heartburn,C0018834,,Approved,,
fluocinolone acetonide,DB12553,Chronic small plaque psoriasis,C0406317,,Approved,,
prednisolone,DB00860,"Ophthalmia, Sympathetic",C0029077,,Approved,,
caffeine,DB00201,Allergic rhinitis (disorder),C2607914,,Approved,,
ferric maltol,DB15598,Iron deficiency anemia,C0162316,,Approved,,
isavuconazonium,DB06636,Aspergillosis,C0004030,,Approved,,
propranolol,DB00571,Supraventricular tachycardia,C0039240,,Approved,,
desonide,DB01260,Crohn Disease,C0010346,,Approved,,
cobicistat,DB09065,HIV Infections,C0019693,,Approved,,
fusidic acid,DB02703,Corneal Perforation,C0339293,,Approved,,
hydrocortisone acetate,DB14539,Keratitis,C0022568,,Approved,,
tenonitrozole,DB13659,Trichomonas Infections,C0040921,,Approved,,
methyl salicylate,DB09543,Back Pain,C0004604,,Approved,,
tetracycline,DB00759,Gonorrhea of rectum,C0275665,,Approved,,
trastuzumab,DB00072,Peritonsillar cellulitis,C0553656,,Approved,,
prednisolone,DB00860,Ocular Rosacea,C0406486,,Approved,,
alprazolam,DB00404,Anxiety,C0003467,,Approved,,
hydrocortisone,DB00741,Nephrotic Syndrome,C0027726,,Approved,,
dexpanthenol,DB09357,Contact dermatitis caused by urushiol from Pacific poison oak,C0263283,,Approved,,
vintafolide,DB05168,Malignant epithelial tumor of ovary,C0346161,,Approved,,
zinc acetate,DB14487,Skin irritation,C0152030,,Approved,,
infliximab,DB00065,Chronic small plaque psoriasis,C0406317,,Approved,,
alizapride,DB01425,Nausea and vomiting,C0027498,,Approved,,
tolazoline,DB00797,Vascular Diseases,C0042373,,Approved,,
amineptine,DB04836,Depressive disorder,C0011581,,Approved,,
fluocinonide,DB01047,Inflammatory dermatosis,C3875321,,Approved,,
pramocaine,DB09345,Tinea Pedis,C0040259,,Approved,,
cefoxitin,DB01331,Female pelvic cellulitis,C0349734,,Approved,,
gonadorelin,DB00644,Amenorrhea,C0002453,,Approved,,
epoetin theta,DB00016,Anemia of chronic renal failure,C0271932,,Approved,,
acrivastine,DB09488,Hay fever,C0018621,,Approved,,
mometasone furoate,DB00764,Contact Dermatitis,C0011616,,Approved,,
cyclacillin,DB01000,Infective otitis media,C0729586,,Approved,,
hydrocortisone acetate,DB00741,"Lupus Erythematosus, Systemic",C0024141,,Approved,,
azapropazone,DB07402,Degenerative polyarthritis,C0029408,,Approved,,
bismuth subsalicylate,DB01294,Dyspepsia,C0013395,,Approved,,
nemonoxacin,DB06600,Community acquired pneumonia,C0694549,,Approved,,
norfloxacin,DB01059,Chlamydial urethritis,C1278807,,Approved,,
ofloxacin,DB01165,Pneumonia,C0032285,,Approved,,
verapamil,DB00661,Paroxysmal supraventricular tachycardia,C0030590,,Approved,,
epinephrine,DB00668,Pulmonary Emphysema,C0034067,,Approved,,
xipamide,DB13803,Edema,C0013604,,Approved,,
prednicarbate,DB00860,Exanthema,C0015230,,Approved,,
hydrocortisone succinate,DB14545,Dermatitis Herpetiformis,C0011608,,Approved,,
dexetimide,DB08997,Neuroleptic-induced parkinsonism,C0236830,,Approved,,
bromocriptine,DB01200,Parkinson Disease,C0030567,,Approved,,
anidulafungin,DB00362,Candidiasis of the esophagus,C0239295,,Approved,,
brompheniramine,DB00835,Rhinorrhea,C1260880,,Approved,,
finafloxacin,DB09047,Acute otitis externa,C0149948,,Approved,,
prednisolone,DB00860,Adrenogenital disorder,C0701163,,Approved,,
loracarbef,DB00447,Infective otitis media,C0729586,,Approved,,
mezlocillin,DB00948,Pneumonia due to Escherichia coli,C0276089,,Approved,,
hydrocortisone acetate,DB00741,Aspiration pneumonitis,C1761609,,Approved,,
darifenacin,DB00496,Bladder muscle dysfunction - overactive,C0403643,,Approved,,
clindamycin phosphate,DB01190,Group A Streptococcal Infections,C0554628,,Approved,,
cyanocobalamin,DB00115,"Anemia, Pernicious",C0002892,,Approved,,
sodium sulfate,DB09472,Incomplete passage of stool,C0426639,,Approved,,
ampicillin,DB00415,Streptococcal pneumonia,C0155862,,Approved,,
methapyrilene,DB04819,Allergic rhinitis (disorder),C2607914,,Approved,,
dexmethylphenidate,DB06701,Attention deficit hyperactivity disorder,C1263846,,Approved,,
phenindamine,DB01619,Allergic Conjunctivitis,C0009766,,Approved,,
methyl nicotinate,DB13882,Arthralgia,C0003862,,Approved,,
mifepristone,DB00834,Unspecified Abortion,C0156543,,Approved,,
prednisone,DB00635,Dermatologic disorders,C0037274,,Approved,,
hydrocortisone succinate,DB14545,Bursitis,C0006444,,Approved,,
latanoprost,DB00654,Ocular Hypertension,C0028840,,Approved,,
botulinum toxin type A,DB00083,Upper limb spasticity,C1273957,,Approved,,
cefamandole,DB01326,Staphylococcus aureus infection,C1318973,,Approved,,
aripiprazole,DB01238,Autistic Disorder,C0004352,,Approved,,
secukinumab,DB09029,Chronic small plaque psoriasis,C0406317,,Approved,,
metronidazole,DB00916,Endometritis,C0014179,,Approved,,
choline fenofibrate,DB13873,Hyperlipidemia,C0020473,,Approved,,
naproxen,DB00788,Degenerative polyarthritis,C0029408,,Approved,,
hydrocortisone acetate,DB14539,Hemorrhoids,C0019112,,Approved,,
corticotropin,DB01285,Stevens-Johnson Syndrome,C0038325,,Approved,,
metronidazole,DB00916,Bacterial sepsis,C0684256,,Approved,,
ipratropium,DB00332,Bronchitis,C0006277,,Approved,,
mesalazine,DB00244,Chronic ulcerative proctitis,C2937222,,Approved,,
peginterferon alfa-2a,DB00008,"Hepatitis C, Chronic",C0524910,,Approved,,
clocortolone pivalate,DB00838,Psoriasis of scalp,C0406326,,Approved,,
